,id,act,person,dialogue,4,5
0,0,ACT 1,BARNARDO., Who’s there?,POSITIVE,0.652484655380249
1,1,ACT 1,FRANCISCO.," Nay, answer me. Stand and unfold yourself.",NEGATIVE,0.5863603949546814
2,2,ACT 1,BARNARDO., Long live the King!,POSITIVE,0.9923404455184937
3,3,ACT 1,FRANCISCO., Barnardo?,NEGATIVE,0.948018491268158
4,4,ACT 1,BARNARDO., He.,POSITIVE,0.7606557011604309
5,5,ACT 1,FRANCISCO., You come most carefully upon your hour.,POSITIVE,0.9606674909591675
6,6,ACT 1,BARNARDO.," ’Tis now struck twelve. Get thee to bed, Francisco.",NEGATIVE,0.9024481177330017
7,7,ACT 1,FRANCISCO.," For this relief much thanks. ’Tis bitter cold, And I am sickat heart.",POSITIVE,0.7707284092903137
8,8,ACT 1,BARNARDO., Have you had quiet guard?,POSITIVE,0.9123578667640686
9,9,ACT 1,FRANCISCO., Not a mouse stirring.,NEGATIVE,0.9996718168258667
10,10,ACT 1,BARNARDO.," Well, good night. If you do meet Horatio and Marcellus, Therivals of my watch, bid them make haste. Enter Horatio and Marcellus.",POSITIVE,0.7810488343238831
11,11,ACT 1,FRANCISCO.," I think I hear them. Stand, ho! Who is there?",POSITIVE,0.9154745936393738
12,12,ACT 1,HORATIO., Friends to this ground.,POSITIVE,0.9961756467819214
13,13,ACT 1,MARCELLUS., And liegemen to the Dane.,POSITIVE,0.7358422875404358
14,14,ACT 1,FRANCISCO., Give you good night.,POSITIVE,0.9586380124092102
15,15,ACT 1,MARCELLUS.," O, farewell, honest soldier, who hath reliev’d you?",NEGATIVE,0.9592872262001038
16,16,ACT 1,FRANCISCO., Barnardo has my place. Give you good-night. [_Exit._],POSITIVE,0.9567989110946655
17,17,ACT 1,MARCELLUS.," Holla, Barnardo!",NEGATIVE,0.9882076382637024
18,18,ACT 1,BARNARDO.," Say, what, is Horatio there?",NEGATIVE,0.533952534198761
19,19,ACT 1,HORATIO., A piece of him.,POSITIVE,0.9985466599464417
20,20,ACT 1,BARNARDO.," Welcome, Horatio. Welcome, good Marcellus.",POSITIVE,0.9974602460861206
21,21,ACT 1,MARCELLUS.," What, has this thing appear’d again tonight?",NEGATIVE,0.9991061091423035
22,22,ACT 1,BARNARDO., I have seen nothing.,NEGATIVE,0.9987425208091736
23,23,ACT 1,MARCELLUS.," Horatio says ’tis but our fantasy, And will not let belieftake hold of him Touching this dreaded sight, twice seen of us.Therefore I have entreated him along With us to watch the minutes ofthis night, That if again this apparition come He may approve our eyesand speak to it.",NEGATIVE,0.9997490048408508
24,24,ACT 1,HORATIO.," Tush, tush, ’twill not appear.",NEGATIVE,0.9992984533309937
25,25,ACT 1,BARNARDO.," Sit down awhile, And let us once again assail your ears, Thatare so fortified against our story, What we two nights have seen.",NEGATIVE,0.7980595827102661
26,26,ACT 1,HORATIO.," Well, sit we down, And let us hear Barnardo speak of this.",POSITIVE,0.5818271040916443
27,27,ACT 1,BARNARDO.," Last night of all, When yond same star that’s westward fromthe pole, Had made his course t’illume that part of heaven Where now itburns, Marcellus and myself, The bell then beating one—",POSITIVE,0.6274271011352539
28,28,ACT 1,MARCELLUS.," Peace, break thee off. Look where it comes again. Enter Ghost.",POSITIVE,0.8748462200164795
29,29,ACT 1,BARNARDO.," In the same figure, like the King that’s dead.",NEGATIVE,0.8092458248138428
30,30,ACT 1,MARCELLUS.," Thou art a scholar; speak to it, Horatio.",POSITIVE,0.9985004663467407
31,31,ACT 1,BARNARDO.," Looks it not like the King? Mark it, Horatio.",POSITIVE,0.9974186420440674
32,32,ACT 1,HORATIO., Most like. It harrows me with fear and wonder.BARNARDO It would be spoke to.,POSITIVE,0.9985800981521606
33,33,ACT 1,MARCELLUS.," Question it, Horatio.",NEGATIVE,0.6245893239974976
34,34,ACT 1,HORATIO.," What art thou that usurp’st this time of night, Together withthat fair and warlike form In which the majesty of buried Denmark Didsometimes march? By heaven I charge thee speak.",POSITIVE,0.8043923377990723
35,35,ACT 1,MARCELLUS., It is offended.,NEGATIVE,0.9976298809051514
36,36,ACT 1,BARNARDO.," See, it stalks away.",NEGATIVE,0.997622549533844
37,37,ACT 1,HORATIO.," Stay! speak, speak! I charge thee speak! [_Exit Ghost._]",NEGATIVE,0.9821818470954895
38,38,ACT 1,MARCELLUS.," ’Tis gone, and will not answer.",NEGATIVE,0.9988518953323364
39,39,ACT 1,BARNARDO.," How now, Horatio! You tremble and look pale. Is not thissomething more than fantasy? What think you on’t?",NEGATIVE,0.9947779178619385
40,40,ACT 1,HORATIO.," Before my God, I might not this believe Without the sensibleand true avouch Of mine own eyes.",POSITIVE,0.9560791850090027
41,41,ACT 1,MARCELLUS., Is it not like the King?,POSITIVE,0.6007205843925476
42,42,ACT 1,HORATIO.," As thou art to thyself: Such was the very armour he had onWhen he th’ambitious Norway combated; So frown’d he once, when in anangry parle He smote the sledded Polacks on the ice. ’Tis strange.",NEGATIVE,0.889855682849884
43,43,ACT 1,MARCELLUS.," Thus twice before, and jump at this dead hour, With martialstalk hath he gone by our watch.",NEGATIVE,0.9954134821891785
44,44,ACT 1,HORATIO.," In what particular thought to work I know not; But in thegross and scope of my opinion, This bodes some strange eruption to ourstate.",NEGATIVE,0.8633657097816467
45,45,ACT 1,MARCELLUS.," Good now, sit down, and tell me, he that knows, Why thissame strict and most observant watch So nightly toils the subject ofthe land, And why such daily cast of brazen cannon And foreign mart forimplements of war; Why such impress of shipwrights, whose sore taskDoes not divide the Sunday from the week. What might be toward, thatthis sweaty haste Doth make the night joint-labourer with the day: Whois’t that can inform me?",NEGATIVE,0.6588690876960754
